"hgnc_symbol","uniprotswissprot"
"ADORA2A","P29274"
"TOP1","P11387"
"PTGER1","P34995"
"RYR3","Q15413"
"OGG1","O15527"
"RYR1","P21817"
"LPAR2","Q9HBW0"
"ADORA2B","P29275"
"ADORA1","P30542"
"ADORA3","P0DMS8"
